day,count
2019-01-01,132
2019-01-02,283
2019-01-03,334
2019-01-04,339
2019-01-05,222
2019-01-06,224
2019-01-07,351
2019-01-08,464
2019-01-09,376
2019-01-10,345
2019-01-11,316
2019-01-12,167
2019-01-13,219
2019-01-14,403
2019-01-15,410
2019-01-16,364
2019-01-17,365
2019-01-18,340
2019-01-19,210
2019-01-20,250
2019-01-21,373
2019-01-22,393
2019-01-23,410
2019-01-24,368
2019-01-25,355
2019-01-26,242
2019-01-27,246
2019-01-28,447
2019-01-29,489
2019-01-30,529
2019-01-31,450
2019-02-01,374
2019-02-02,271
2019-02-03,336
2019-02-04,423
2019-02-05,551
2019-02-06,439
2019-02-07,333
2019-02-08,300
2019-02-09,228
2019-02-10,215
2019-02-11,423
2019-02-12,434
2019-02-13,360
2019-02-14,338
2019-02-15,277
2019-02-16,199
2019-02-17,221
2019-02-18,360
2019-02-19,455
2019-02-20,424
2019-02-21,480
2019-02-22,399
2019-02-23,247
2019-02-24,254
2019-02-25,494
2019-02-26,425
2019-02-27,433
2019-02-28,448
2019-03-01,418
2019-03-02,263
2019-03-03,269
2019-03-04,789
2019-03-05,670
2019-03-06,579
2019-03-07,533
2019-03-08,538
2019-03-09,416
2019-03-10,364
2019-03-11,711
2019-03-12,630
2019-03-13,546
2019-03-14,586
2019-03-15,435
2019-03-16,341
2019-03-17,395
2019-03-18,523
2019-03-19,517
2019-03-20,543
2019-03-21,553
2019-03-22,554
2019-03-23,305
2019-03-24,406
2019-03-25,648
2019-03-26,569
2019-03-27,650
2019-03-28,580
2019-03-29,611
2019-03-30,371
2019-03-31,511
